investment_id,evolution_driver,delay_explanation,project_url
4,Rescheduled,"Due to the expected delay of the connection of new RES generation, the commissioning date of this investment item was rescheduled",https://tyndp-data.netlify.app/tyndp2018/projects/projects/1
474,Rescheduled,"Due to the expected delay of the connection of new RES generation, the commissioning date of this investment item was rescheduled",https://tyndp-data.netlify.app/tyndp2018/projects/projects/1
941,Rescheduled,"Due to the expected delay of the connection of new RES generation, the commissioning date of this investment item was rescheduled",https://tyndp-data.netlify.app/tyndp2018/projects/projects/1
2,Rescheduled,"Due to the expected delay of the connection of new RES generation, the commissioning date of this investment item was rescheduled",https://tyndp-data.netlify.app/tyndp2018/projects/projects/1
18,Delayed,Delays due to social and environmental problems (possibility of re-routing and/or siting or re-siting of facility(ies)). The permitting had to be reinitiated.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/4
496,Delayed,Delays due to social and environmental problems (possibility of re-routing and/or siting or re-siting of facility(ies)). The permitting had to be reinitiated.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/4
500,Delayed,Delays due to social and environmental problems (possibility of re-routing and/or siting or re-siting of facility(ies)). The permitting had to be reinitiated.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/4
499,Delayed,Delays due to social and environmental problems (possibility of re-routing and/or siting or re-siting of facility(ies)). The permitting had to be reinitiated.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/4
498,Delayed,Delays due to social and environmental problems (possibility of re-routing and/or siting or re-siting of facility(ies)). The permitting had to be reinitiated.,https://tyndp-data.netlify.app/tyndp2018/projects/projects/4
570,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/13
569,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/13
31,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/13
38,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/16
55,Investment on time,,https://tyndp-data.netlify.app/tyndp2018/projects/projects/21
60,Rescheduled,Project is expected 1 year earlier than TYNDP16,https://tyndp-data.netlify.app/tyndp2018/projects/projects/23
